Batch,File,Line,Pattern,Original,Replaced,Verified
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9438,typeof(long); typeof(string),"		public SqlImportXmlCustomMethod() { ReturnType = typeof(long); argumentTypeArray = new[] { typeof(string), typeof(string), typeof(string), typeof(string), typeof(string) }; CanRestructure = false; }","		public SqlImportXmlCustomMethod() { ReturnType = EraType.Integer; argumentTypeArray = new[] { EraType.String, EraType.String, EraType.String, EraType.String, EraType.String }; CanRestructure = false; }",
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9449,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9478,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9499,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9523,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9546,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9547,typeof(long),			argumentTypeArray = new Type[] { typeof(long) };,			argumentTypeArray = new Type[] { EraType.Integer };,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9566,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9580,typeof(long),			ReturnType = typeof(long);,			ReturnType = EraType.Integer;,
16b,Runtime\Script\Statements\Function\Creator.Method.cs,9581,typeof(long),			argumentTypeArray = new Type[] { typeof(long) };,			argumentTypeArray = new Type[] { EraType.Integer };,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,42,typeof(void),	/// 引数の型と数。typeof(void)で任意の型（あるいは個別にチェックするべき引数）。nullでその引数は省略可能,	/// 引数の型と数。EraType.Voidで任意の型（あるいは個別にチェックするべき引数）。nullでその引数は省略可能,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,90,typeof(void),			if ((allowType != typeof(void)) && (allowType != arguments[i].GetOperandType())),			if ((allowType != EraType.Void) && (allowType != arguments[i].GetOperandType())),
16c,Runtime\Script\Statements\ArgumentBuilder.cs,168,typeof(long),				types[i] = typeof(long);,				types[i] = EraType.Integer;,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,170,typeof(string),				types[i] = typeof(string);,				types[i] = EraType.String;,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,257,typeof(string),"			argumentTypeArray = null;// new Type[] { typeof(string), typeof(string), typeof(Int64), typeof(Int64), typeof(Int64) };","			argumentTypeArray = null;// new Type[] { EraType.String, EraType.String, typeof(Int64), typeof(Int64), typeof(Int64) };",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,318,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,361,typeof(string),"			argumentTypeArray = null;// new Type[] { typeof(string), typeof(string), typeof(Int64), typeof(Int64), typeof(Int64) };","			argumentTypeArray = null;// new Type[] { EraType.String, EraType.String, typeof(Int64), typeof(Int64), typeof(Int64) };",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,443,typeof(string),"			argumentTypeArray = null;// new Type[] { typeof(string), typeof(string), typeof(Int64), typeof(Int64), typeof(Int64) };","			argumentTypeArray = null;// new Type[] { EraType.String, EraType.String, typeof(Int64), typeof(Int64), typeof(Int64) };",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1345,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1428,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1498,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1551,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1578,typeof(void),			argumentTypeArray = [typeof(void)];,			argumentTypeArray = [EraType.Void];,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1605,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1622,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1642,typeof(long); typeof(string),"			argumentTypeArray = [typeof(long), typeof(string)];","			argumentTypeArray = [EraType.Integer, EraType.String];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1659,typeof(long); typeof(string),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long), typeof(string), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer, EraType.String, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1685,typeof(long); typeof(string),"			argumentTypeArray = [typeof(long), typeof(string), typeof(long), typeof(string), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.String, EraType.Integer, EraType.String, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1709,typeof(string),"	//		argumentTypeArray = new Type[] { typeof(Int64), typeof(Int64), typeof(Int64), typeof(string) };","	//		argumentTypeArray = new Type[] { typeof(Int64), typeof(Int64), typeof(Int64), EraType.String };",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1731,typeof(string),"	//		argumentTypeArray = new Type[] { typeof(Int64), typeof(string), typeof(Int64), typeof(string) };","	//		argumentTypeArray = new Type[] { typeof(Int64), EraType.String, typeof(Int64), EraType.String };",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1753,typeof(long),"			argumentTypeArray = [typeof(long), null, typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, null, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1786,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer, EraType.Integer];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1806,typeof(void),"			argumentTypeArray = [typeof(void), typeof(void)];","			argumentTypeArray = [EraType.Void, EraType.Void];",
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1833,typeof(long),			argumentTypeArray = [typeof(long)];,			argumentTypeArray = [EraType.Integer];,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1854,typeof(string),			argumentTypeArray = [typeof(string)];,			argumentTypeArray = [EraType.String];,
16c,Runtime\Script\Statements\ArgumentBuilder.cs,1879,typeof(long),"			argumentTypeArray = [typeof(long), typeof(long)];","			argumentTypeArray = [EraType.Integer, EraType.Integer];",
